level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1260	2800	-1	
2	1	1	0	0	0	36	59	1224	2700	-1	
3	1	1	1	0	0	48	59	1212	328	-1	
4	1	1	1	1	0	74	59	1105	31	-1	
5	1	1	1	1	1	74	61	66	26	92.826225	2:30
5	1	1	1	1	2	160	62	30	28	73.459526	Y
5	1	1	1	1	3	877	59	30	31	68.528938	©
5	1	1	1	1	4	930	62	75	28	59.945431	=
5	1	1	1	1	5	1030	68	23	22	81.044365	all
5	1	1	1	1	6	1084	68	23	22	39.842163	all
5	1	1	1	1	7	1136	63	43	27	27.382408	EB
4	1	1	1	2	0	57	168	1143	55	-1	
5	1	1	1	2	1	57	172	53	46	48.419643	<
5	1	1	1	2	2	136	168	55	59	44.988152	__
5	1	1	1	2	3	206	179	190	44	60.388641	onepiece
5	1	1	1	2	4	757	178	34	34	80.239960	x
5	1	1	1	2	5	904	168	40	54	30.192032	8
5	1	1	1	2	6	1038	171	60	48	0.000000	§)
5	1	1	1	2	7	1188	171	12	48	82.056152	:
4	1	1	1	3	0	232	320	1028	47	-1	
5	1	1	1	3	1	232	320	120	47	97.009331	Shorts
5	1	1	1	3	2	452	324	128	31	96.241837	Videos
5	1	1	1	3	3	681	324	204	31	92.806030	Unwatched
5	1	1	1	3	4	986	320	161	47	96.047050	Watched
5	1	1	1	3	5	1249	325	11	30	50.706680	I
3	1	1	2	0	0	36	442	1186	487	-1	
4	1	1	2	1	0	650	442	569	41	-1	
5	1	1	2	1	1	650	442	174	32	92.321953	Greenbull
5	1	1	2	1	2	839	442	186	41	96.458054	struggling
5	1	1	2	1	3	1038	446	36	28	96.679192	to
5	1	1	2	1	4	1088	446	131	36	96.375305	protect
4	1	1	2	2	0	822	497	226	41	-1	
5	1	1	2	2	1	822	497	226	41	90.888733	Mariegeoise
4	1	1	2	3	0	654	575	550	57	-1	
5	1	1	2	3	1	654	576	274	44	93.285706	Meanwhile
5	1	1	2	3	2	946	575	196	57	92.845055	fujitora:
5	1	1	2	3	3	1160	593	44	21	59.474556	©
4	1	1	2	4	0	643	684	579	68	-1	
5	1	1	2	4	1	643	684	30	32	2.713654	S
5	1	1	2	4	2	689	690	13	52	0.000000	,
5	1	1	2	4	3	755	695	10	2	44.010811	-
5	1	1	2	4	4	780	697	31	44	62.892586	x
5	1	1	2	4	5	846	685	48	67	51.377224	.
5	1	1	2	4	6	917	736	58	14	50.831871	a
5	1	1	2	4	7	1036	690	44	43	94.744804	+
5	1	1	2	4	8	1135	697	87	42	40.473671	ney
4	1	1	2	5	0	36	876	999	53	-1	
5	1	1	2	5	1	36	893	43	27	0.000000	~
5	1	1	2	5	2	286	911	1	4	76.419235	|
5	1	1	2	5	3	443	885	74	30	42.478828	VGq
5	1	1	2	5	4	643	876	66	48	20.896080	P|
5	1	1	2	5	5	719	883	76	38	31.840462	oe."
5	1	1	2	5	6	886	881	71	45	48.559944	Mee
5	1	1	2	5	7	977	876	58	53	46.884212	i,
3	1	1	3	0	0	61	791	1150	233	-1	
4	1	1	3	1	0	61	791	1002	233	-1	
5	1	1	3	1	1	61	923	93	30	0.000000	—-
5	1	1	3	1	2	193	791	209	233	62.329208	=
5	1	1	3	1	3	643	939	7	19	8.029472	'
5	1	1	3	1	4	676	927	72	47	53.338005	23
5	1	1	3	1	5	769	872	155	132	7.756882	Yat
5	1	1	3	1	6	963	907	100	73	12.585510	in
3	1	1	4	0	0	36	1108	1140	785	-1	
4	1	1	4	1	0	77	1108	979	41	-1	
5	1	1	4	1	1	77	1134	18	11	82.399925	&
5	1	1	4	1	2	115	1108	92	41	96.862724	Luffy
5	1	1	4	1	3	218	1117	41	24	96.614937	vs
5	1	1	4	1	4	271	1117	112	32	96.462852	young
5	1	1	4	1	5	398	1110	87	39	93.279366	Garp
5	1	1	4	1	6	504	1134	18	11	8.394913	&
5	1	1	4	1	7	992	1140	64	4	49.295052	ping
